Access Control List,Access Control Entry,Permission,Logging,Source Network,Destination Network,L3 Protocol,L4 Protocol,Operator,Port
meraki-fqdn-dns,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
meraki-fqdn-dns,No ACEs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
