BGP Tag,Router ID,BGP PID,BGP State,BGP Started Reason,AS Path Entries,AS Format,Memory State,Mode,Paths Per Attribute,Bytes Used,Entries Pending Delete,VRF,Cluster ID,Configured Router ID,Number of Configured Peers,Number of Established Peers,Pending Peers,VRF ID,VRF RD,VRF State,Address Family,Peer,Active Peers,Aggregates,Networks,Paths,Routes,Table ID,Table State
65535,172.16.0.1,4643,running,configuration,0,asplain,ok,Initialized,1,128,0,default,0.0.0.0,0.0.0.0,1,0,0,1,not configured,up,ipv4 unicast,0,0,0,1,1,1,0x1,up
65535,172.16.0.1,4643,running,configuration,0,asplain,ok,Initialized,1,128,0,default,0.0.0.0,0.0.0.0,1,0,0,1,not configured,up,ipv6 unicast,0,0,0,0,0,0,0x80000001,up
